Vaudoy-en-Brie,1
Vaux-le-Pénil,0
Vaux-sur-Lunain,1
Veneux-les-Sablons,0
Verdelot,0
Vernou-la-Celle-sur-Seine,0
Vieux-Champagne,0
Villebéon,1
Villecerf,1
Villemaréchal,1
Villeneuve-sur-Bellot,0
Villevaudé,1
Villiers-en-Bière,1
Voulx,1
Vulaines-sur-Seine.,0
"
DÉPARTEMENT DES YVELINES",0
"
Communes d'Adainville",0
Auffargis,0
Auteuil,1
Bennecourt,0
Beynes,0
Bois-d'Arcy,1
Boissière-Ecole (La),0
Bourdonné,0
Chevreuse,0
Choisel,0
Civry-la-Forêt,0
Coignières,0
Condé-sur-Vesgre,0
Ecquevilly,0
Etang-la-Ville (L'),2
Falaise (La),0
Fourqueux,0
Gambais,0
Garancières,0
Gazeran,0
Guerville,0
Hargeville,0
Hauteville (La),1
Hermeray,0
Houdan,0
Juziers,0
Longvilliers,0
Louveciennes,0
Maisons-Laffitte,0
Mareil-le-Guyon,0
Mareil-sur-Mauldre,0
Maule,0
Maulette,0
Maurepas,0
Mesnil-Saint-Denis (Le),1
Meulan,0
Montainville,0
Montfort-l'Amaury,0
Morainvilliers,0
Nézel,0
Orgerus,0
Orvilliers,0
Poigny-la-Forêt,0
Raizeux,0
Rambouillet,0
Rennemoulin,0
Saint-Forget,0
Saint-Germain-de-la-Grange,0
Saint-Germain-en-Laye,0
Saint-Hilarion,0
Saint-Lambert,1
Senlisse,0
Sonchamp,0
Vélizy-Villacoublay,1
Vicq,0
Villennes-sur-Seine,0
Villiers-Saint-Frédéric.,0
"
DÉPARTEMENT DE L'YONNE",0
"
Communes d'Armeau",0
Beaumont,0
Bordes (Les),1
Butteaux,0
Celle-Saint-Cyr (La),1
Charny,2
Chemilly-sur-Yonne,0
Dixmont,1
Ferté-Loupière (La),1
Germiny,0
Gurgy,0
Rosoy,0
Saint-Florentin,0
Saint-Julien-du-Sault,0
Saint-Martin-d'Ordon,1
Verlin,1
Villecien,0
Villeneuve-sur-Yonne.,0
"
DÉPARTEMENT DE L'ESSONNE",0
"
Communes d'Athis-Mons",0
Auvernaux,1
Avrainville,1
Bièvres,1
Boissy-le-Cutté,1
Boissy-le-Sec,1
Boissy-sous-Saint-Yon,1
Bouray-sur-Juine,1
Boussy-Saint-Antoine,0
Boutervilliers,1
Boutigny-sur-Essonne,0
Breuillet,0
Breux-Jouy,0
Bruyères-le-Châtel,0
Buno-Bonnevaux,0
Bures-sur-Yvette,0
Cerny,0
Chalo-Saint-Mars,1
Chamarande,1
Champcueil,1
Champlan,0
Cheptainville,1
Chevannes,1
Corbeil-Essonnes,0
Coudray-Montceaux (Le),0
Courdimanche-sur-Essonne,0
Crosne,0
Dannemois,1
Dourdan,0
Draveil,0
Echarcon,0
Epinay-sur-Orge,0
Etampes,3
Etiolles,0
Etréchy,1
Evry,0
Ferté-Alais (La),0
Fontenay-le-Vicomte,0
Gif-sur-Yvette,0
Gironville-sur-Essonne,0
Guigneville-sur-Essonne,0
Igny,1
Itteville,0
Janville-sur-Juine,1
Juvisy-sur-Orge,0
Lardy,1
Leudeville,2
Longjumeau,0
Marolles-en-Hurepoix,1
